Region,Apartment,Beds,Baths,Rent,URL
Hardin Valley,Greystone Vista,1,1,0,https://www.apartments.com/greystone-vista-knoxville-tn/renmlr1/
Hardin Valley,Greystone Vista,2,2,0,https://www.apartments.com/greystone-vista-knoxville-tn/renmlr1/
Hardin Valley,Greystone Vista,3,2,0,https://www.apartments.com/greystone-vista-knoxville-tn/renmlr1/
Turkey Creek,Tapestry Turkey Creek,1,1,1145.0,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,2,2,1427.5,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,2,2,1355.0,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,2,2,1512.5,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,2,2,1500.0,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,1,1,1130.0,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,1,1,1142.5,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,2,2,1410.0,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,2,2,1395.0,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,2,2,1525.0,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,2,2,1420.0,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,2,2,1520.0,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,1,1,1152.5,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,1,1,1157.5,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,1,1,1380.0,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,2,2,1435.0,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,2,2,1455.0,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,2,2,1460.0,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,3,2,1622.5,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Tapestry Turkey Creek,3,2,1715.0,https://www.apartments.com/tapestry-at-turkey-creek-knoxville-tn/qvnevly/
Turkey Creek,Overlook at Farragut,1,1,1139.0,https://www.apartments.com/overlook-farragut-knoxville-tn/7fxlkcz/
Turkey Creek,Overlook at Farragut,1,1,1119.0,https://www.apartments.com/overlook-farragut-knoxville-tn/7fxlkcz/
Turkey Creek,Overlook at Farragut,1,1,1129.0,https://www.apartments.com/overlook-farragut-knoxville-tn/7fxlkcz/
Turkey Creek,Overlook at Farragut,1,1,1134.0,https://www.apartments.com/overlook-farragut-knoxville-tn/7fxlkcz/
Turkey Creek,Overlook at Farragut,1,1,1144.0,https://www.apartments.com/overlook-farragut-knoxville-tn/7fxlkcz/
Turkey Creek,Overlook at Farragut,1,1,1159.0,https://www.apartments.com/overlook-farragut-knoxville-tn/7fxlkcz/
Turkey Creek,Overlook at Farragut,1,1,1156.5,https://www.apartments.com/overlook-farragut-knoxville-tn/7fxlkcz/
Turkey Creek,Overlook at Farragut,1,1,1149.0,https://www.apartments.com/overlook-farragut-knoxville-tn/7fxlkcz/
Turkey Creek,Overlook at Farragut,1,1,1154.0,https://www.apartments.com/overlook-farragut-knoxville-tn/7fxlkcz/
Turkey Creek,Overlook at Farragut,1,1,1169.0,https://www.apartments.com/overlook-farragut-knoxville-tn/7fxlkcz/
Turkey Creek,Overlook at Farragut,1,1,1179.0,https://www.apartments.com/overlook-farragut-knoxville-tn/7fxlkcz/
